customer_id,lead_date,acquisition_channel,channel_type,region,device,age_group,signup_date,verified_date,first_conversion_date,plan_tier
C100076,2025-02-10,LinkedIn Ads,Paid,India,Tablet,18-24,2025-02-13,,,Not Converted
C100077,2024-02-20,Meta Ads,Paid,United States,Desktop,35-44,,,,Not Converted
C100078,2025-01-18,Organic Search,Organic,India,Mobile,35-44,2025-01-21,,,Not Converted
C100079,2025-08-19,LinkedIn Ads,Paid,United States,Desktop,25-34,2025-08-21,2025-08-23,2025-08-30,Pro
C100080,2025-10-02,Google Ads,Paid,United Kingdom,Desktop,25-34,2025-10-03,2025-10-04,,Not Converted
C100081,2024-12-17,Meta Ads,Paid,United States,Mobile,25-34,2024-12-19,,,Not Converted
C100082,2025-10-12,Direct,Organic,India,Mobile,25-34,2025-10-13,,,Not Converted
C100083,2024-11-24,Organic Search,Organic,UAE,Desktop,35-44,2024-11-24,2024-11-26,,Not Converted
C100084,2025-12-06,Referral,Organic,UAE,Mobile,25-34,2025-12-07,2025-12-09,,Not Converted
C100085,2024-04-11,Direct,Organic,India,Tablet,45-54,,,,Not Converted
C100086,2025-07-26,Organic Search,Organic,India,Mobile,55+,2025-07-28,,,Not Converted
C100087,2025-06-11,Meta Ads,Paid,India,Desktop,25-34,,,,Not Converted
C100088,2025-02-20,Organic Search,Organic,UAE,Desktop,25-34,2025-02-23,2025-02-25,2025-03-16,Free
C100089,2024-07-16,Organic Search,Organic,United States,Desktop,18-24,,,,Not Converted
C100090,2024-10-19,Meta Ads,Paid,United States,Mobile,45-54,2024-10-20,,,Not Converted
C100091,2024-10-10,Organic Search,Organic,India,Mobile,35-44,,,,Not Converted
C100092,2024-07-31,Google Ads,Paid,India,Tablet,25-34,,,,Not Converted
C100093,2025-04-07,LinkedIn Ads,Paid,India,Desktop,25-34,2025-04-08,2025-04-09,2025-04-16,Business
C100094,2024-09-23,Referral,Organic,UAE,Mobile,35-44,2024-09-25,2024-09-27,2024-09-30,Business
C100095,2025-12-27,Direct,Organic,United States,Mobile,55+,2025-12-28,2025-12-30,2026-01-14,Business
C100096,2025-10-24,LinkedIn Ads,Paid,United States,Desktop,25-34,2025-10-27,,,Not Converted
C100097,2025-07-07,Direct,Organic,United Kingdom,Mobile,25-34,2025-07-09,2025-07-10,2025-07-20,Pro
C100098,2025-05-07,Meta Ads,Paid,India,Desktop,45-54,2025-05-09,,,Not Converted
C100099,2025-08-03,Google Ads,Paid,United States,Desktop,45-54,,,,Not Converted
C100100,2025-02-01,Google Ads,Paid,United Kingdom,Mobile,45-54,2025-02-01,2025-02-02,,Not Converted
C100101,2024-09-22,Referral,Organic,United Kingdom,Tablet,25-34,2024-09-22,2024-09-23,,Not Converted
C100102,2025-10-01,LinkedIn Ads,Paid,India,Desktop,35-44,2025-10-01,2025-10-03,,Not Converted
C100103,2025-08-02,Google Ads,Paid,India,Mobile,35-44,2025-08-03,,,Not Converted
C100104,2025-07-29,Meta Ads,Paid,UAE,Mobile,25-34,,,,Not Converted
C100105,2025-03-14,Meta Ads,Paid,India,Mobile,25-34,,,,Not Converted
C100106,2024-12-01,Google Ads,Paid,India,Tablet,18-24,,,,Not Converted
C100107,2024-08-15,LinkedIn Ads,Paid,India,Mobile,35-44,2024-08-17,2024-08-17,,Not Converted
C100108,2025-10-10,Referral,Organic,United States,Mobile,25-34,2025-10-12,2025-10-13,2025-10-25,Pro
C100109,2024-12-13,Organic Search,Organic,India,Mobile,45-54,2024-12-16,,,Not Converted
C100110,2025-03-21,Organic Search,Organic,United States,Mobile,35-44,2025-03-21,2025-03-22,2025-03-27,Pro
C100111,2025-04-19,Google Ads,Paid,India,Mobile,35-44,2025-04-22,,,Not Converted
C100112,2025-12-13,Google Ads,Paid,UAE,Desktop,35-44,2025-12-16,,,Not Converted
C100113,2025-08-20,Google Ads,Paid,UAE,Mobile,55+,2025-08-22,,,Not Converted
C100114,2025-04-21,LinkedIn Ads,Paid,India,Mobile,45-54,2025-04-22,2025-04-24,,Not Converted
C100115,2025-02-01,Organic Search,Organic,United States,Mobile,25-34,2025-02-02,2025-02-03,2025-02-10,Pro
C100116,2024-11-27,Google Ads,Paid,United States,Desktop,25-34,,,,Not Converted
C100117,2024-10-18,Direct,Organic,India,Desktop,25-34,2024-10-20,2024-10-20,,Not Converted
C100118,2025-12-26,Google Ads,Paid,India,Desktop,25-34,,,,Not Converted
C100119,2025-08-24,LinkedIn Ads,Paid,United States,Mobile,55+,,,,Not Converted
C100120,2024-07-24,Direct,Organic,India,Desktop,25-34,2024-07-26,2024-07-28,,Not Converted
C100121,2024-08-29,LinkedIn Ads,Paid,India,Mobile,45-54,2024-09-01,2024-09-02,,Not Converted
C100122,2025-10-25,Meta Ads,Paid,United States,Mobile,25-34,2025-10-27,2025-10-27,2025-11-07,Pro
C100123,2025-06-26,Referral,Organic,United States,Mobile,25-34,2025-06-29,2025-06-30,,Not Converted
C100124,2024-11-18,Google Ads,Paid,Singapore,Desktop,18-24,2024-11-21,,,Not Converted
C100125,2025-03-30,Meta Ads,Paid,United States,Mobile,55+,2025-04-02,2025-04-02,,Not Converted
C100126,2025-06-05,Google Ads,Paid,India,Desktop,25-34,2025-06-08,,,Not Converted
C100127,2025-01-23,Referral,Organic,India,Desktop,25-34,,,,Not Converted
C100128,2024-08-25,Organic Search,Organic,Singapore,Tablet,25-34,2024-08-28,2024-08-30,2024-09-01,Business
C100129,2025-03-13,Direct,Organic,United States,Desktop,55+,2025-03-13,2025-03-13,,Not Converted
C100130,2025-04-22,Direct,Organic,India,Desktop,35-44,2025-04-25,2025-04-25,2025-05-10,Pro
C100131,2024-05-11,Google Ads,Paid,Singapore,Mobile,25-34,2024-05-14,2024-05-16,2024-05-28,Business
C100132,2025-10-25,Google Ads,Paid,India,Desktop,35-44,,,,Not Converted
C100133,2025-02-01,LinkedIn Ads,Paid,United Kingdom,Desktop,55+,2025-02-03,2025-02-04,,Not Converted
C100134,2025-09-21,Referral,Organic,India,Desktop,35-44,,,,Not Converted
C100135,2024-10-13,Meta Ads,Paid,UAE,Desktop,35-44,2024-10-16,2024-10-17,2024-10-25,Pro
C100136,2025-01-31,Google Ads,Paid,UAE,Desktop,35-44,2025-02-01,,,Not Converted
C100137,2025-08-31,Meta Ads,Paid,India,Desktop,25-34,2025-09-01,2025-09-01,,Not Converted
C100138,2024-08-13,LinkedIn Ads,Paid,United Kingdom,Desktop,55+,2024-08-14,,,Not Converted
C100139,2025-08-08,Referral,Organic,United States,Mobile,25-34,2025-08-11,2025-08-13,2025-08-16,Free
C100140,2024-11-07,Direct,Organic,India,Mobile,35-44,,,,Not Converted
C100141,2024-08-09,LinkedIn Ads,Paid,India,Tablet,25-34,,,,Not Converted
C100142,2024-06-29,Referral,Organic,Singapore,Mobile,35-44,,,,Not Converted
C100143,2024-10-17,Meta Ads,Paid,United States,Mobile,35-44,,,,Not Converted
C100144,2024-05-31,LinkedIn Ads,Paid,Singapore,Mobile,25-34,2024-06-02,2024-06-04,2024-06-11,Pro
C100145,2025-08-08,Meta Ads,Paid,United Kingdom,Desktop,55+,2025-08-10,2025-08-10,2025-08-29,Business
C100146,2025-12-07,Referral,Organic,United States,Mobile,35-44,,,,Not Converted
C100147,2025-04-28,Referral,Organic,Singapore,Mobile,25-34,,,,Not Converted
C100148,2024-10-13,LinkedIn Ads,Paid,India,Desktop,45-54,,,,Not Converted
C100149,2025-11-01,Meta Ads,Paid,United Kingdom,Mobile,35-44,,,,Not Converted
C100150,2025-08-04,Referral,Organic,UAE,Desktop,25-34,2025-08-07,2025-08-07,2025-08-18,Pro
C100151,2024-09-09,Referral,Organic,United States,Mobile,35-44,,,,Not Converted
C100152,2025-10-04,Referral,Organic,United States,Tablet,18-24,2025-10-06,2025-10-06,,Not Converted
C100153,2024-03-28,LinkedIn Ads,Paid,India,Desktop,35-44,,,,Not Converted
C100154,2024-08-23,Google Ads,Paid,India,Mobile,45-54,2024-08-24,2024-08-25,2024-09-13,Business
C100155,2024-05-26,Meta Ads,Paid,United States,Desktop,25-34,2024-05-27,,,Not Converted
C100156,2025-02-15,Referral,Organic,United States,Desktop,25-34,,,,Not Converted
C100157,2024-02-09,Referral,Organic,Singapore,Desktop,25-34,2024-02-09,2024-02-09,2024-02-11,Pro
C100158,2025-11-04,Direct,Organic,United Kingdom,Desktop,45-54,2025-11-05,2025-11-06,,Not Converted
C100159,2024-12-06,LinkedIn Ads,Paid,India,Mobile,45-54,2024-12-09,,,Not Converted
C100160,2024-11-27,Google Ads,Paid,Singapore,Mobile,25-34,2024-11-29,2024-11-29,,Not Converted
C100161,2025-08-10,Organic Search,Organic,India,Mobile,25-34,2025-08-12,2025-08-12,,Not Converted
C100162,2025-01-02,Meta Ads,Paid,United States,Desktop,45-54,2025-01-03,2025-01-04,,Not Converted
C100163,2025-09-15,Google Ads,Paid,United States,Tablet,25-34,2025-09-17,2025-09-17,2025-09-19,Pro
C100164,2024-04-29,Referral,Organic,Singapore,Mobile,35-44,2024-04-30,2024-05-01,,Not Converted
C100165,2025-05-08,Meta Ads,Paid,Singapore,Mobile,25-34,2025-05-10,2025-05-10,,Not Converted
C100166,2024-11-05,Direct,Organic,UAE,Mobile,25-34,,,,Not Converted
C100167,2025-01-20,Direct,Organic,United States,Mobile,25-34,2025-01-21,2025-01-22,2025-01-31,Pro
C100168,2025-01-28,Meta Ads,Paid,India,Mobile,35-44,2025-01-29,2025-01-29,,Not Converted
C100169,2025-12-04,Google Ads,Paid,United States,Mobile,35-44,,,,Not Converted
C100170,2025-04-18,Google Ads,Paid,India,Desktop,35-44,2025-04-18,,,Not Converted
C100171,2024-11-11,Organic Search,Organic,India,Mobile,35-44,2024-11-12,2024-11-13,,Not Converted
C100172,2024-02-29,Referral,Organic,United States,Mobile,18-24,2024-03-02,2024-03-03,2024-03-06,Free
C100173,2025-02-18,Meta Ads,Paid,India,Desktop,55+,,,,Not Converted
C100174,2024-11-13,Direct,Organic,India,Mobile,18-24,,,,Not Converted
C100175,2025-01-28,Google Ads,Paid,India,Tablet,35-44,2025-01-31,2025-02-01,,Not Converted
C100176,2024-12-29,Direct,Organic,UAE,Mobile,35-44,,,,Not Converted
C100177,2025-06-12,Meta Ads,Paid,India,Mobile,35-44,2025-06-12,2025-06-12,,Not Converted
C100178,2025-08-10,Direct,Organic,UAE,Mobile,18-24,2025-08-13,2025-08-13,2025-08-14,Pro
C100179,2025-08-04,LinkedIn Ads,Paid,United States,Mobile,35-44,2025-08-05,2025-08-05,,Not Converted
C100180,2025-01-21,LinkedIn Ads,Paid,India,Mobile,25-34,2025-01-23,2025-01-23,,Not Converted
C100181,2025-05-09,Google Ads,Paid,United States,Desktop,55+,2025-05-10,2025-05-11,2025-05-27,Free
C100182,2024-05-21,Google Ads,Paid,Singapore,Mobile,18-24,2024-05-22,,,Not Converted
C100183,2024-11-22,Meta Ads,Paid,United States,Tablet,25-34,2024-11-24,2024-11-26,2024-12-05,Pro
C100184,2025-05-06,Organic Search,Organic,India,Mobile,35-44,2025-05-09,2025-05-10,2025-05-16,Pro
C100185,2025-06-07,Referral,Organic,India,Desktop,25-34,2025-06-09,2025-06-10,2025-06-24,Pro
C100186,2025-04-22,Referral,Organic,Singapore,Mobile,18-24,2025-04-24,2025-04-26,,Not Converted
C100187,2025-07-16,Google Ads,Paid,India,Mobile,18-24,2025-07-16,2025-07-18,,Not Converted
C100188,2024-07-21,LinkedIn Ads,Paid,United Kingdom,Tablet,45-54,2024-07-22,2024-07-24,,Not Converted
C100189,2025-01-22,Referral,Organic,UAE,Mobile,45-54,2025-01-23,,,Not Converted
C100190,2024-02-26,Referral,Organic,UAE,Desktop,45-54,2024-02-29,2024-02-29,2024-03-14,Pro
C100191,2025-01-04,LinkedIn Ads,Paid,United States,Mobile,25-34,2025-01-05,2025-01-06,2025-01-17,Pro
C100192,2025-04-21,Organic Search,Organic,UAE,Tablet,45-54,2025-04-24,2025-04-25,,Not Converted
C100193,2024-04-19,Organic Search,Organic,United Kingdom,Mobile,35-44,,,,Not Converted
C100194,2024-11-23,Google Ads,Paid,Singapore,Desktop,25-34,2024-11-23,2024-11-24,,Not Converted
C100195,2025-02-12,Meta Ads,Paid,India,Mobile,45-54,,,,Not Converted
C100196,2024-12-03,LinkedIn Ads,Paid,UAE,Mobile,35-44,2024-12-05,2024-12-05,2024-12-17,Pro
C100197,2024-04-26,Direct,Organic,India,Mobile,25-34,2024-04-28,2024-04-29,2024-05-05,Pro
C100198,2025-08-11,Meta Ads,Paid,United Kingdom,Mobile,35-44,,,,Not Converted
C100199,2024-09-07,Organic Search,Organic,United Kingdom,Tablet,25-34,2024-09-08,2024-09-09,,Not Converted
C100200,2024-10-27,Organic Search,Organic,United Kingdom,Desktop,45-54,2024-10-27,2024-10-28,,Not Converted
C100201,2025-11-12,Referral,Organic,India,Mobile,45-54,2025-11-12,2025-11-12,,Not Converted
C100202,2024-04-22,Referral,Organic,United Kingdom,Mobile,18-24,2024-04-25,2024-04-27,2024-05-02,Pro
C100203,2024-11-02,LinkedIn Ads,Paid,Singapore,Mobile,25-34,2024-11-03,2024-11-03,2024-11-09,Free
C100204,2025-08-12,Organic Search,Organic,India,Mobile,55+,2025-08-12,2025-08-12,,Not Converted
C100205,2025-01-19,Organic Search,Organic,United Kingdom,Desktop,25-34,2025-01-21,2025-01-21,2025-02-01,Pro
C100206,2025-10-08,Referral,Organic,India,Mobile,45-54,2025-10-10,2025-10-12,,Not Converted
C100207,2025-01-22,Organic Search,Organic,India,Mobile,45-54,2025-01-23,2025-01-25,2025-01-31,Pro
C100208,2024-11-07,Organic Search,Organic,India,Mobile,45-54,2024-11-09,2024-11-09,,Not Converted
C100209,2025-07-12,Meta Ads,Paid,Singapore,Mobile,35-44,2025-07-15,,,Not Converted
C100210,2025-08-18,LinkedIn Ads,Paid,India,Mobile,25-34,2025-08-20,2025-08-22,,Not Converted
C100211,2024-02-02,Referral,Organic,Singapore,Desktop,55+,2024-02-05,2024-02-07,2024-02-17,Pro
C100212,2025-06-13,Organic Search,Organic,United Kingdom,Mobile,45-54,2025-06-13,2025-06-13,,Not Converted
C100213,2025-11-06,Referral,Organic,United Kingdom,Tablet,35-44,2025-11-07,2025-11-08,,Not Converted
C100214,2024-10-02,Meta Ads,Paid,India,Mobile,35-44,,,,Not Converted
C100215,2025-10-05,Referral,Organic,United States,Desktop,18-24,2025-10-08,2025-10-09,,Not Converted
C100216,2025-12-13,Google Ads,Paid,United States,Desktop,25-34,2025-12-16,2025-12-18,,Not Converted
C100217,2024-07-07,LinkedIn Ads,Paid,Singapore,Mobile,25-34,2024-07-07,2024-07-08,2024-07-25,Free
C100218,2025-05-12,Google Ads,Paid,United States,Mobile,25-34,,,,Not Converted
C100219,2024-08-29,Organic Search,Organic,India,Mobile,55+,,,,Not Converted
C100220,2025-07-13,Organic Search,Organic,India,Mobile,45-54,2025-07-16,2025-07-18,2025-07-29,Pro
C100221,2025-08-15,Organic Search,Organic,Singapore,Desktop,45-54,2025-08-17,2025-08-18,,Not Converted
C100222,2025-08-13,Google Ads,Paid,India,Mobile,25-34,2025-08-15,2025-08-16,,Not Converted
C100223,2025-02-23,LinkedIn Ads,Paid,United States,Mobile,35-44,,,,Not Converted
C100224,2025-06-25,Meta Ads,Paid,India,Desktop,35-44,,,,Not Converted
C100225,2025-09-20,Organic Search,Organic,United Kingdom,Tablet,18-24,2025-09-22,2025-09-24,,Not Converted
C100226,2025-03-16,Organic Search,Organic,India,Mobile,18-24,2025-03-19,2025-03-20,,Not Converted
C100227,2025-05-16,LinkedIn Ads,Paid,India,Desktop,18-24,2025-05-19,,,Not Converted
C100228,2025-01-23,LinkedIn Ads,Paid,India,Desktop,25-34,2025-01-26,2025-01-26,,Not Converted
C100229,2025-12-25,Organic Search,Organic,UAE,Desktop,45-54,,,,Not Converted
C100230,2025-11-20,Direct,Organic,United States,Mobile,25-34,2025-11-23,2025-11-24,,Not Converted
C100231,2025-10-02,Organic Search,Organic,UAE,Mobile,35-44,,,,Not Converted
C100232,2025-04-28,Organic Search,Organic,UAE,Desktop,45-54,,,,Not Converted
C100233,2025-10-05,LinkedIn Ads,Paid,India,Mobile,18-24,2025-10-06,,,Not Converted
C100234,2025-09-11,LinkedIn Ads,Paid,UAE,Mobile,25-34,2025-09-12,2025-09-13,2025-09-23,Business
C100235,2024-11-08,Organic Search,Organic,UAE,Desktop,18-24,2024-11-09,2024-11-11,2024-11-26,Business
C100236,2025-04-02,Meta Ads,Paid,Singapore,Desktop,18-24,,,,Not Converted
C100237,2025-06-01,Google Ads,Paid,India,Desktop,35-44,2025-06-03,2025-06-05,2025-06-17,Free
C100238,2025-02-13,Meta Ads,Paid,United States,Mobile,35-44,2025-02-15,2025-02-16,,Not Converted
C100239,2025-05-17,Referral,Organic,India,Mobile,25-34,2025-05-17,2025-05-19,,Not Converted
C100240,2025-03-03,Referral,Organic,United Kingdom,Mobile,35-44,2025-03-03,2025-03-05,2025-03-15,Pro
C100241,2024-07-18,Referral,Organic,UAE,Desktop,35-44,2024-07-19,,,Not Converted
C100242,2024-04-06,Google Ads,Paid,United Kingdom,Desktop,55+,2024-04-08,,,Not Converted
C100243,2025-11-06,Direct,Organic,United States,Mobile,18-24,2025-11-09,2025-11-09,2025-11-16,Business
C100244,2025-02-08,Referral,Organic,India,Desktop,55+,,,,Not Converted
C100245,2025-08-29,Organic Search,Organic,Singapore,Mobile,18-24,2025-08-29,2025-08-29,2025-09-03,Business
C100246,2024-08-16,Meta Ads,Paid,India,Mobile,25-34,,,,Not Converted
C100247,2025-02-02,LinkedIn Ads,Paid,Singapore,Tablet,35-44,2025-02-02,2025-02-02,,Not Converted
C100248,2025-01-26,Meta Ads,Paid,United Kingdom,Desktop,25-34,2025-01-28,,,Not Converted
C100249,2025-01-22,LinkedIn Ads,Paid,India,Mobile,35-44,2025-01-22,2025-01-22,,Not Converted
C100250,2025-06-02,LinkedIn Ads,Paid,United Kingdom,Mobile,25-34,2025-06-03,2025-06-04,,Not Converted
C100251,2025-10-17,Google Ads,Paid,United States,Mobile,18-24,2025-10-17,2025-10-19,2025-10-24,Pro
C100252,2025-11-11,Organic Search,Organic,India,Mobile,25-34,2025-11-12,2025-11-14,2025-11-18,Free
C100253,2024-05-17,Organic Search,Organic,United States,Mobile,45-54,2024-05-17,,,Not Converted
C100254,2024-10-30,LinkedIn Ads,Paid,United States,Desktop,18-24,2024-10-30,2024-11-01,2024-11-18,Free
C100255,2025-05-04,Google Ads,Paid,United States,Desktop,35-44,2025-05-04,2025-05-05,2025-05-17,Business
C100256,2025-09-07,Direct,Organic,India,Mobile,55+,2025-09-07,2025-09-09,2025-09-24,Pro
C100257,2025-06-09,Referral,Organic,India,Desktop,25-34,2025-06-10,2025-06-11,2025-06-12,Free
C100258,2024-06-20,Referral,Organic,United States,Mobile,25-34,2024-06-23,2024-06-23,,Not Converted
C100259,2025-11-24,Google Ads,Paid,United Kingdom,Desktop,45-54,2025-11-27,2025-11-27,,Not Converted
C100260,2025-02-05,Google Ads,Paid,United States,Desktop,45-54,2025-02-08,2025-02-09,,Not Converted
C100261,2024-05-21,Referral,Organic,United States,Mobile,35-44,2024-05-22,2024-05-24,2024-05-31,Free
C100262,2024-07-01,LinkedIn Ads,Paid,United Kingdom,Tablet,18-24,2024-07-01,2024-07-02,,Not Converted
C100263,2024-08-11,Organic Search,Organic,UAE,Desktop,25-34,,,,Not Converted
C100264,2024-08-10,Google Ads,Paid,United States,Mobile,25-34,,,,Not Converted
C100265,2024-09-30,LinkedIn Ads,Paid,Singapore,Mobile,35-44,,,,Not Converted
C100266,2025-04-02,Meta Ads,Paid,United States,Mobile,35-44,2025-04-03,2025-04-04,,Not Converted
C100267,2024-11-07,LinkedIn Ads,Paid,India,Mobile,35-44,2024-11-08,2024-11-09,,Not Converted
C100268,2024-07-27,Referral,Organic,United States,Mobile,25-34,2024-07-30,2024-07-30,,Not Converted
C100269,2024-06-26,LinkedIn Ads,Paid,UAE,Desktop,45-54,,,,Not Converted
